Date,Open,High,Low,Close,Adj Close,Volume
1996-09-23,12.04,12.04,12.04,12.04,2.06,0
1996-09-24,12.07,12.07,12.07,12.07,2.06,0
1996-09-25,12.11,12.11,12.11,12.11,2.07,0
1996-09-26,12.11,12.11,12.11,12.11,2.07,0
1996-09-27,12.13,12.13,12.13,12.13,2.07,0
1996-09-30,12.15,12.15,12.15,12.15,2.08,0
1996-10-01,12.16,12.16,12.16,12.16,2.08,0
1996-10-02,12.26,12.26,12.26,12.26,2.09,0
1996-10-03,12.23,12.23,12.23,12.23,2.09,0
1996-10-04,12.29,12.29,12.29,12.29,2.10,0
1996-10-07,12.27,12.27,12.27,12.27,2.10,0
1996-10-08,12.25,12.25,12.25,12.25,2.09,0
1996-10-09,12.21,12.21,12.21,12.21,2.09,0
1996-10-10,12.22,12.22,12.22,12.22,2.09,0
1996-10-11,12.26,12.26,12.26,12.26,2.09,0
1996-10-14,12.26,12.26,12.26,12.26,2.09,0
1996-10-15,12.28,12.28,12.28,12.28,2.10,0
1996-10-16,12.27,12.27,12.27,12.27,2.10,0
1996-10-17,12.30,12.30,12.30,12.30,2.10,0
1996-10-18,12.31,12.31,12.31,12.31,2.10,0
1996-10-21,12.30,12.30,12.30,12.30,2.10,0
1996-10-22,12.24,12.24,12.24,12.24,2.09,0
1996-10-23,12.26,12.26,12.26,12.26,2.09,0
1996-10-24,12.26,12.26,12.26,12.26,2.09,0
1996-10-25,12.29,12.29,12.29,12.29,2.10,0
1996-10-28,12.21,12.21,12.21,12.21,2.09,0
1996-10-29,12.17,12.17,12.17,12.17,2.08,0
1996-10-30,12.17,12.17,12.17,12.17,2.08,0
1996-10-31,12.24,12.24,12.24,12.24,2.09,0
1996-11-01,12.19,12.19,12.19,12.19,2.08,0
1996-11-04,12.21,12.21,12.21,12.21,2.09,0
1996-11-05,12.20,12.20,12.20,12.20,2.08,0
1996-11-06,12.28,12.28,12.28,12.28,2.10,0
1996-11-07,12.32,12.32,12.32,12.32,2.11,0
1996-11-08,12.34,12.34,12.34,12.34,2.11,0
1996-11-11,12.34,12.34,12.34,12.34,2.11,0
1996-11-12,12.41,12.41,12.41,12.41,2.12,0
1996-11-13,12.43,12.43,12.43,12.43,2.12,0
1996-11-14,12.49,12.49,12.49,12.49,2.13,0
1996-11-15,12.47,12.47,12.47,12.47,2.13,0
1996-11-18,12.47,12.47,12.47,12.47,2.13,0
1996-11-19,12.47,12.47,12.47,12.47,2.13,0
1996-11-20,12.54,12.54,12.54,12.54,2.14,0
1996-11-21,12.53,12.53,12.53,12.53,2.14,0
1996-11-22,12.61,12.61,12.61,12.61,2.15,0
1996-11-25,12.68,12.68,12.68,12.68,2.17,0
1996-11-26,12.66,12.66,12.66,12.66,2.16,0
1996-11-27,12.71,12.71,12.71,12.71,2.17,0
1996-11-29,12.75,12.75,12.75,12.75,2.18,0
1996-12-02,12.79,12.79,12.79,12.79,2.19,0
1996-12-03,12.86,12.86,12.86,12.86,2.20,0
1996-12-04,12.86,12.86,12.86,12.86,2.20,0
1996-12-05,12.88,12.88,12.88,12.88,2.20,0
1996-12-06,12.75,12.75,12.75,12.75,2.18,0
1996-12-09,12.91,12.91,12.91,12.91,2.21,0
1996-12-10,12.98,12.98,12.98,12.98,2.22,0
1996-12-11,12.86,12.86,12.86,12.86,2.20,0
1996-12-12,12.81,12.81,12.81,12.81,2.19,0
1996-12-13,12.77,12.77,12.77,12.77,2.18,0
1996-12-16,12.68,12.68,12.68,12.68,2.17,0
1996-12-17,12.68,12.68,12.68,12.68,2.17,0
1996-12-18,12.78,12.78,12.78,12.78,2.18,0
1996-12-19,12.89,12.89,12.89,12.89,2.20,0
1996-12-20,12.94,12.94,12.94,12.94,2.21,0
1996-12-23,12.89,12.89,12.89,12.89,2.20,0
1996-12-24,12.19,12.19,12.19,12.19,2.08,0
1996-12-26,12.19,12.19,12.19,12.19,2.21,0
1996-12-27,12.29,12.29,12.29,12.29,2.23,0
1996-12-30,12.28,12.28,12.28,12.28,2.23,0
1996-12-31,12.33,12.33,12.33,12.33,2.24,0
1997-01-02,12.27,12.27,12.27,12.27,2.23,0
1997-01-03,12.38,12.38,12.38,12.38,2.25,0
1997-01-06,12.38,12.38,12.38,12.38,2.25,0
1997-01-07,12.43,12.43,12.43,12.43,2.26,0
1997-01-08,12.43,12.43,12.43,12.43,2.26,0
1997-01-09,12.47,12.47,12.47,12.47,2.26,0
1997-01-10,12.51,12.51,12.51,12.51,2.27,0
1997-01-13,12.54,12.54,12.54,12.54,2.28,0
1997-01-14,12.59,12.59,12.59,12.59,2.28,0
1997-01-15,12.60,12.60,12.60,12.60,2.29,0
1997-01-16,12.60,12.60,12.60,12.60,2.29,0
1997-01-17,12.65,12.65,12.65,12.65,2.30,0
1997-01-20,12.65,12.65,12.65,12.65,2.30,0
1997-01-21,12.71,12.71,12.71,12.71,2.31,0
1997-01-22,12.72,12.72,12.72,12.72,2.31,0
1997-01-23,12.72,12.72,12.72,12.72,2.31,0
1997-01-24,12.65,12.65,12.65,12.65,2.30,0
1997-01-27,12.60,12.60,12.60,12.60,2.29,0
1997-01-28,12.63,12.63,12.63,12.63,2.29,0
1997-01-29,12.64,12.64,12.64,12.64,2.29,0
1997-01-30,12.71,12.71,12.71,12.71,2.31,0
1997-01-31,12.73,12.73,12.73,12.73,2.31,0
1997-02-03,12.76,12.76,12.76,12.76,2.32,0
1997-02-04,12.74,12.74,12.74,12.74,2.31,0
1997-02-05,12.67,12.67,12.67,12.67,2.30,0
1997-02-06,12.67,12.67,12.67,12.67,2.30,0
1997-02-07,12.72,12.72,12.72,12.72,2.31,0
1997-02-10,12.67,12.67,12.67,12.67,2.30,0
1997-02-11,12.64,12.64,12.64,12.64,2.29,0
1997-02-12,12.72,12.72,12.72,12.72,2.31,0
1997-02-13,12.83,12.83,12.83,12.83,2.33,0
1997-02-14,12.86,12.86,12.86,12.86,2.33,0
1997-02-18,12.89,12.89,12.89,12.89,2.34,0
1997-02-19,12.94,12.94,12.94,12.94,2.35,0
1997-02-20,12.85,12.85,12.85,12.85,2.33,0
1997-02-21,12.85,12.85,12.85,12.85,2.33,0
1997-02-24,12.88,12.88,12.88,12.88,2.34,0
1997-02-25,12.90,12.90,12.90,12.90,2.34,0
1997-02-26,12.83,12.83,12.83,12.83,2.33,0
1997-02-27,12.78,12.78,12.78,12.78,2.32,0
1997-02-28,12.73,12.73,12.73,12.73,2.31,0
1997-03-03,12.73,12.73,12.73,12.73,2.31,0
1997-03-04,12.77,12.77,12.77,12.77,2.32,0
1997-03-05,12.82,12.82,12.82,12.82,2.33,0
1997-03-06,12.82,12.82,12.82,12.82,2.33,0
1997-03-07,12.86,12.86,12.86,12.86,2.33,0
1997-03-10,12.93,12.93,12.93,12.93,2.35,0
1997-03-11,12.97,12.97,12.97,12.97,2.35,0
1997-03-12,12.90,12.90,12.90,12.90,2.34,0
1997-03-13,12.76,12.76,12.76,12.76,2.32,0
1997-03-14,12.74,12.74,12.74,12.74,2.31,0
1997-03-17,12.69,12.69,12.69,12.69,2.30,0
1997-03-18,12.64,12.64,12.64,12.64,2.29,0
1997-03-19,12.54,12.54,12.54,12.54,2.28,0
1997-03-20,12.55,12.55,12.55,12.55,2.28,0
1997-03-21,12.53,12.53,12.53,12.53,2.27,0
